playerIdOpta,playerNameOpta,playerNameWy,playerIdWy,Ratio,value
94924,Gerard Deulofeu,Gerard Deulofeu Lázaro,3348,Dribble,3.0
95658,Harry Maguire,Harry Maguire,8653,Dribble,1.8055555555555556
95715,Lucas Moura,Lucas Rodrigues Moura da Silva,40765,Dribble,1.5
97032,Virgil van Dijk,Virgil van Dijk,370,Dribble,1.5
97299,John Stones,John Stones,9380,Dribble,2.0
97485,Kevin Wimmer,Kevin Wimmer,65254,Dribble,0.8571428571428571
97615,Mike van der Hoorn,Mike van der Hoorn,284,Dribble,2.6
98745,Héctor Bellerín,Héctor Bellerín Moruno,167145,Dribble,1.4864864864864864
98747,Nick Pope,Nick Pope,12242,Dribble,
98914,Guido Carrillo,Guido Marcelo Carrillo,86239,Dribble,3.0
100059,Alberto Moreno,Alberto Moreno Pérez,4908,Dribble,1.0
100180,Danilo,Danilo Luiz da Silva,70083,Dribble,1.625
100412,André Carrillo,André Martín Carrillo Díaz,70156,Dribble,1.4915254237288136
101148,Jamaal Lascelles,Jamal Lascelles,8833,Dribble,0.7777777777777778
101178,James Ward-Prowse,James Ward-Prowse,8144,Dribble,3.0
101184,Calum Chambers,Calum Chambers,171283,Dribble,1.1
101668,Jamie Vardy,Jamie Vardy,12829,Dribble,1.5609756097560976
102366,Moritz Bauer,Moritz Bauer,49971,Dribble,1.1818181818181819
102380,Antonio Rüdiger,Antonio Rüdiger,14748,Dribble,1.5714285714285714
102826,Benjamin Mendy,Benjamin Mendy,26136,Dribble,1.6
102884,Paulo Gazzaniga,Paulo Dino Gazzaniga,8992,Dribble,
103025,Riyad Mahrez,Riyad Mahrez,26150,Dribble,1.6923076923076923
103127,Molla Wagué,Molla Wagué,25885,Dribble,1.0
103192,Kurt Zouma,Kurt Happy Zouma,25854,Dribble,1.25
103912,Jordon Ibe,Jordon Ibe,9739,Dribble,1.3424657534246576
103914,Charlie Taylor,Charlie Taylor,9164,Dribble,1.5384615384615385
103955,Raheem Sterling,Raheem Shaquille Sterling,11066,Dribble,1.6835443037974684
104542,Loris Karius,Loris Karius,15175,Dribble,
104545,Tommy Smith,Tom Smith,11078,Dribble,2.0
104547,Dwight Gayle,Dwight Gayle,12536,Dribble,1.3571428571428572
104953,Christian Atsu,Christian Atsu Twasam,70215,Dribble,1.489795918367347
105666,Jack Butland,Jack Butland,8094,Dribble,
105700,Davide Zappacosta,Davide Zappacosta,22889,Dribble,1.2941176470588236
105717,Arthur Masuaku,Arthur Masuaku,26499,Dribble,1.5376344086021505
106450,Alex Pritchard,Alex Pritchard,8290,Dribble,1.4210526315789473
106611,Michael Keane,Michael Keane,7919,Dribble,0.875
106618,Paul Dummett,Paul Dummett,7978,Dribble,
106757,Jürgen Locadia,Jürgen Locadia,120,Dribble,0.6
106760,Luke Shaw,Luke Shaw,8135,Dribble,1.4285714285714286
108413,Will Hughes,Will Hughes,8981,Dribble,0.8125
108438,Sandro Ramírez,Sandro Ramírez Castillo,5911,Dribble,1.4
108823,Dele Alli,Bamidele Alli,13484,Dribble,1.1196581196581197
109065,Davy Klaassen,Davy Klaassen,56,Dribble,1.0
109322,Jesse Lingard,Jesse Lingard,7934,Dribble,1.8
109345,Solly March,Solly March,247248,Dribble,1.7
109434,Terence Kongolo,Terence Kongolo,132,Dribble,2.0
109528,Javier Manquillo,Javier Manquillo Gaitán,3436,Dribble,1.45
109533,Emerson,Emerson Palmieri dos Santos,40787,Dribble,1.5
109788,João Mário,João Mário Naval da Costa Eduardo,70965,Dribble,1.6875
110979,Sadio Mané,Sadio Mané,25747,Dribble,1.4202898550724639
111234,Jordan Pickford,Jordan Pickford,10131,Dribble,
111457,Sead Kolasinac,Sead Kolašinac,14869,Dribble,1.25
112338,Emre Can,Emre Can,18550,Dribble,1.7619047619047619
112516,Isaiah Brown,Isaiah Brown,255935,Dribble,1.8333333333333333
113564,Sam Byram,Sam Byram,224206,Dribble,0.75
114243,Jacob Murphy,Jacob Murphy,293686,Dribble,1.5476190476190477
115556,Ben Davies,Ben Davies,136441,Dribble,1.0909090909090908
116594,N'Golo Kanté,N'Golo Kanté,31528,Dribble,1.525
118748,Mohamed Salah,Mohamed Salah Ghaly,120353,Dribble,2.0142857142857142
121160,Ederson,Ederson Santana de Moraes,71654,Dribble,
121221,Ramiro Funes Mori,José Ramiro Funes Mori,86325,Dribble,
121599,Abdoulaye Doucouré,Abdoulaye Doucouré,28292,Dribble,1.5128205128205128
122342,Emerson Hyndman,Emerson Hyndman,259531,Dribble,
122798,Andrew Robertson,Andrew Robertson,222220,Dribble,2.0833333333333335
126184,Nathan Aké,Nathan Aké,134102,Dribble,1.1
126187,Ruben Loftus-Cheek,Ruben Loftus-Cheek,235555,Dribble,1.3522727272727273
128198,Sofiane Boufal,Sofiane Boufal,215983,Dribble,1.8412698412698412
128389,Aleksandar Mitrovic,Aleksandar Mitrović,128214,Dribble,1.0
131897,Mat Ryan,Mathew Ryan,61390,Dribble,
132015,Pierre-Emile Højbjerg,Pierre-Emile Højbjerg,135114,Dribble,1.4615384615384615
133801,Jerome Sinclair,Jerome Sinclair,234408,Dribble,3.0
135363,Andreas Christensen,Andreas Christensen,135103,Dribble,2.5
135365,Jeremie Boga,Jeremie Boga,227756,Dribble,
138009,Sullay Kaikai,Sullay Kaikai,297258,Dribble,2.0
143877,Alexander Sørloth,Alexander Sørloth,55224,Dribble,3.0
146941,Aymeric Laporte,Aymeric Laporte,134502,Dribble,3.0
147303,Laurent Depoitre,Laurent Depoitre,38377,Dribble,1.5
148225,Anthony Martial,Anthony Martial,134513,Dribble,1.5238095238095237
149266,Alfie Mawson,Alfie Mawson,246866,Dribble,2.25
149484,Tyrone Mings,Tyrone Mings,239411,Dribble,
149736,Chancel Mbemba,Chancel Mbemba Mangulu,37726,Dribble,2.4
149828,Islam Slimani,Islam Slimani,119630,Dribble,1.8571428571428572
151086,Mario Lemina,Mario Lemina,29640,Dribble,1.5217391304347827
151119,DeAndre Yedlin,DeAndre Yedlin,252365,Dribble,1.173913043478261
152760,Divock Origi,Divock Okoth Origi,134708,Dribble,
153127,Isaac Hayden,Isaac Hayden,134294,Dribble,2.0
153133,Alex Iwobi,Alex Iwobi,230020,Dribble,2.5652173913043477
153256,Mohamed Elneny,Mohamed Naser Elsayed Elneny,120339,Dribble,1.25
153373,Sam McQueen,Sam McQueen,297733,Dribble,2.0
153379,Josh Sims,Joshua Sims,302520,Dribble,1.5
153673,Jonjoe Kenny,Jonjoe Kenny,286825,Dribble,1.4166666666666667
